id,prediction
1,4
10,4
100,3
1000,4
1001,2
1002,3
1003,3
1004,0
1005,1
1006,4
1007,1
1008,0
1009,2
101,0
1010,3
1011,1
1012,4
1013,1
1014,0
1015,4
1016,0
1017,0
1018,1
1019,3
102,0
1020,1
1021,3
1022,4
1023,3
1024,0
1025,4
1026,3
1027,0
1028,0
1029,1
103,0
1030,1
1031,3
1032,1
1033,3
1034,0
1035,4
1036,0
1037,4
1038,3
1039,3
104,4
1040,4
1041,0
1042,1
1043,3
1044,4
1045,0
1046,0
1047,3
1048,0
1049,2
105,4
1050,4
1051,0
1052,0
1053,3
1054,3
1055,4
1056,4
1057,2
1058,0
1059,2
106,3
1060,1
1061,4
1062,4
1063,1
1064,3
1065,2
1066,4
1067,0
1068,2
1069,3
107,2
1070,2
1071,0
1072,1
1073,3
1074,1
1075,3
1076,3
1077,0
1078,4
1079,0
108,3
1080,1
1081,2
1082,1
1083,4
1084,4
1085,0
1086,1
1087,0
1088,3
1089,0
109,4
1090,2
1091,3
1092,0
1093,3
1094,2
1095,2
1096,4
1097,4
1098,3
1099,4
11,2
110,4
1100,2
1101,3
1102,4
1103,4
1104,3
1105,3
1106,2
1107,0
1108,1
1109,2
111,1
1110,4
1111,2
1112,0
1113,4
1114,2
1115,0
1116,4
1117,4
1118,4
1119,3
112,2
1120,4
1121,2
1122,0
1123,4
1124,0
1125,0
1126,1
1127,3
1128,3
1129,4
113,0
1130,0
1131,3
1132,0
1133,2
1134,0
1135,1
1136,0
1137,3
1138,4
1139,1
114,3
1140,2
1141,3
1142,3
1143,0
1144,4
1145,1
1146,0
1147,3
1148,3
1149,4
115,3
1150,3
1151,4
1152,4
1153,4
1154,3
1155,2
1156,1
1157,0
1158,4
1159,3
116,3
1160,0
1161,3
1162,2
1163,1
1164,4
1165,0
1166,1
1167,0
1168,0
1169,4
117,0
1170,1
1171,1
1172,2
1173,2
1174,0
1175,0
1176,2
1177,0
1178,1
1179,3
118,0
1180,2
1181,0
1182,3
1183,4
1184,1
1185,2
1186,3
1187,3
1188,4
1189,3
119,4
1190,3
1191,4
1192,3
1193,4
1194,4
1195,2
1196,2
1197,0
1198,4
1199,1
12,4
120,0
1200,0
1201,4
1202,1
1203,2
1204,4
1205,4
1206,0
1207,2
1208,2
1209,0
121,3
1210,4
1211,0
1212,1
1213,2
1214,3
1215,4
1216,1
1217,4
1218,1
1219,4
122,4
1220,4
1221,2
1222,2
1223,0
1224,2
1225,0
1226,3
1227,1
1228,1
1229,3
123,4
1230,1
1231,2
1232,3
1233,0
1234,1
1235,0
1236,0
1237,2
1238,4
1239,3
124,0
1240,3
1241,4
1242,2
1243,3
1244,2
1245,1
1246,1
1247,3
1248,2
1249,0
125,2
1250,1
1251,0
1252,0
1253,3
1254,4
1255,4
1256,4
1257,3
1258,3
1259,4
126,4
1260,0
1261,1
1262,3
1263,2
1264,0
1265,3
1266,3
1267,1
1268,0
1269,0
127,4
1270,1
1271,2
1272,2
1273,4
1274,1
1275,3
1276,2
1277,0
1278,1
1279,1
128,1
1280,4
1281,4
1282,1
1283,3
1284,2
1285,4
1286,2
1287,3
1288,1
1289,3
129,3
1290,4
1291,4
1292,0
1293,0
1294,2
1295,2
1296,2
1297,2
1298,2
1299,4
13,4
130,0
1300,0
1301,0
1302,0
1303,4
1304,0
1305,4
1306,4
1307,3
1308,4
1309,3
131,0
1310,3
1311,3
1312,1
1313,3
1314,1
1315,4
1316,4
1317,3
1318,4
1319,4
132,3
1320,3
1321,0
1322,3
1323,3
1324,2
1325,3
1326,3
1327,3
1328,2
1329,4
133,3
1330,3
1331,0
1332,1
1333,0
1334,3
1335,0
1336,4
1337,3
1338,2
1339,2
134,0
1340,2
1341,3
1342,3
1343,1
1344,3
1345,0
1346,1
1347,4
1348,0
1349,4
135,0
1350,0
1351,2
1352,4
1353,3
1354,4
1355,4
1356,2
1357,4
1358,1
1359,3
136,4
1360,0
1361,3
1362,4
1363,0
1364,3
1365,0
1366,4
1367,3
1368,3
1369,2
137,3
1370,2
1371,4
1372,4
1373,4
1374,0
1375,3
1376,4
1377,3
1378,0
1379,3
138,0
1380,4
1381,3
1382,4
1383,2
1384,4
1385,2
1386,0
1387,3
1388,3
1389,0
139,0
1390,1
1391,0
1392,2
1393,3
1394,2
1395,3
1396,3
1397,3
1398,1
1399,1
14,1
140,1
1400,1
1401,3
1402,2
1403,1
1404,3
1405,3
1406,3
1407,0
1408,3
1409,1
141,0
1410,4
1411,1
1412,3
1413,3
1414,3
1415,4
1416,4
1417,0
1418,4
1419,2
142,3
1420,3
1421,3
1422,2
1423,3
1424,3
1425,0
1426,0
1427,4
1428,0
1429,0
143,0
1430,1
1431,2
1432,1
1433,1
1434,3
1435,3
1436,2
1437,3
1438,1
1439,4
144,0
1440,2
1441,2
1442,4
1443,4
1444,2
1445,4
1446,3
1447,1
1448,4
1449,4
145,4
1450,4
1451,4
1452,3
1453,0
1454,2
1455,1
1456,2
1457,2
1458,0
1459,3
146,3
1460,4
1461,1
1462,1
1463,0
1464,2
1465,2
1466,3
1467,4
1468,2
1469,3
147,0
1470,0
1471,4
1472,0
1473,4
1474,0
1475,1
1476,0
1477,0
1478,4
1479,3
148,0
1480,2
1481,3
1482,3
1483,3
1484,2
1485,1
1486,0
1487,2
1488,2
1489,3
149,4
1490,3
1491,2
1492,2
1493,0
1494,3
1495,0
1496,0
1497,0
1498,0
1499,3
15,4
150,4
1500,2
1501,3
1502,4
1503,3
1504,3
1505,3
1506,3
1507,2
1508,3
1509,3
151,4
1510,4
1511,1
1512,3
1513,1
1514,0
1515,2
1516,2
1517,2
1518,4
1519,4
152,0
1520,3
1521,0
1522,4
1523,2
1524,4
1525,2
1526,1
1527,3
1528,4
1529,4
153,3
1530,4
1531,0
1532,4
1533,0
1534,0
1535,4
1536,0
1537,3
1538,3
1539,3
154,3
1540,0
1541,0
1542,0
1543,3
1544,0
1545,2
1546,1
1547,4
1548,2
1549,0
155,4
1550,4
1551,2
1552,0
1553,4
1554,4
1555,4
1556,0
1557,2
1558,3
1559,3
156,2
1560,2
1561,3
1562,2
1563,3
1564,0
1565,1
1566,4
1567,4
1568,4
1569,2
157,0
1570,0
1571,4
1572,0
1573,4
1574,3
1575,4
1576,3
1577,3
1578,2
1579,3
158,0
1580,2
1581,0
1582,4
1583,4
1584,1
1585,3
1586,1
1587,1
1588,4
1589,4
159,0
1590,0
1591,4
1592,4
1593,4
1594,3
1595,1
1596,0
1597,0
1598,0
1599,0
16,3
160,3
1600,4
1601,4
1602,1
1603,4
1604,1
1605,2
1606,3
1607,4
1608,4
1609,3
161,1
1610,2
1611,4
1612,4
1613,3
1614,1
1615,3
1616,1
1617,0
1618,4
1619,4
162,1
1620,1
1621,2
1622,0
1623,4
1624,4
1625,2
1626,0
1627,0
1628,4
1629,3
163,4
1630,0
1631,0
1632,3
1633,3
1634,4
1635,2
1636,4
1637,0
1638,2
1639,3
164,1
1640,2
1641,1
1642,0
1643,0
1644,0
1645,1
1646,3
1647,0
1648,2
